author,papers_with_chris,total_papers,theme
"Wardle, G. M.",57,57,Arid zone ecology
"Greenville, A. C.",52,52,Arid zone ecology
"Crowther, M. S.",47,47,Dasyurids & marsupials
"Newsome, T. M.",46,46,Predators & invasives
"Letnic, M. I.",34,34,Predators & invasives
"Legge, S. M.",33,33,Predators & invasives
"Woinarski, J. C. Z.",32,32,Predators & invasives
"Doherty, T. S.",29,29,Predators & invasives
"Lunney, D.",29,29,Threatened species & conservation
"Ritchie, E. G.",26,26,Predators & invasives
"Glen, A. S.",22,22,Predators & invasives
"Lindenmayer, D. B.",19,19,Threatened species & conservation
"Murphy, B. P.",19,19,Predators & invasives
"Banks, P. B.",18,18,Predators & invasives
"Pavey, C. R.",16,16,Arid zone ecology
"Nimmo, D. G.",14,14,Threatened species & conservation
"Calver, M. C.",13,13,Predators & invasives
"Johnson, C. N.",12,12,Predators & invasives
"Murray, B. R.",12,12,Arid zone ecology
"Spencer, E. E.",12,12,Predators & invasives
"Leung, L. K. P.",11,11,Arid zone ecology
"Palmer, R. A.",11,11,Predators & invasives
"van Eeden, L. M.",11,11,Predators & invasives
"Fisher, D. O.",10,10,Threatened species & conservation
"Gillespie, G. R.",10,10,Threatened species & conservation
"McDonald, P. J.",10,10,Predators & invasives
"Stevens, C. J.",10,10,Vegetation & plant ecology
"Edwards, G. P.",9,9,Predators & invasives
"Fardell, L. L.",9,9,Predators & invasives
"Fleming, P. J. S.",9,9,Predators & invasives
"Frank, A. S. K.",9,9,Arid zone ecology
"McKenzie, N. L.",9,9,Dasyurids & marsupials
"Risch, A. C.",9,9,Vegetation & plant ecology
"Morris, K. D.",8,8,Predators & invasives
"Moseby, K. E.",8,8,Predators & invasives
"Newsome, A. E.",8,8,Predators & invasives
"Peri, P. L.",8,8,Vegetation & plant ecology
"Predavec, M.",8,8,Dasyurids & marsupials
"Read, J. L.",8,8,Predators & invasives
"Tulloch, A. I. T.",8,8,Threatened species & conservation
"Virtanen, R.",8,8,Vegetation & plant ecology
"Woolley, L. A.",8,8,Predators & invasives
"Borer, E. T.",7,7,Vegetation & plant ecology
"Hagenah, N.",7,7,Vegetation & plant ecology
"Hautier, Y.",7,7,Vegetation & plant ecology
"Hohnen, R.",7,7,Predators & invasives
"Keith, D. A.",7,7,Threatened species & conservation
"Knops, J. M. H.",7,7,Vegetation & plant ecology
"Meek, P. D.",7,7,Predators & invasives
"Morgan, J. W.",7,7,Vegetation & plant ecology
"Power, S. A.",7,7,Vegetation & plant ecology
"Ripple, W. J.",7,7,Predators & invasives
"Robinson, N. M.",7,7,Threatened species & conservation
"Seabloom, E. W.",7,7,Vegetation & plant ecology
"Tamayo, B.",7,7,Arid zone ecology
"Vieira, E. M.",7,7,Dasyurids & marsupials
"Bagchi, S.",6,6,Vegetation & plant ecology
"Bakker, J. D.",6,6,Vegetation & plant ecology
"Ballard, G.",6,6,Predators & invasives
"Burns, E. L.",6,6,Threatened species & conservation
"Catford, J. A.",6,6,Vegetation & plant ecology
"Cogger, H. G.",6,6,Predators & invasives
"Dexter, N.",6,6,Predators & invasives
"Donohue, I.",6,6,Vegetation & plant ecology
"Eisenhauer, N.",6,6,Vegetation & plant ecology
"Gentle, M. N.",6,6,Predators & invasives
"Geyle, H. M.",6,6,Predators & invasives
"Hutchings, P.",6,6,Threatened species & conservation
"Jentsch, A.",6,6,Vegetation & plant ecology
"Jones, M. E.",6,6,Predators & invasives
"Law, B. S.",6,6,Threatened species & conservation
"Lazenby, B. T.",6,6,Predators & invasives
"Martina, J. P.",6,6,Vegetation & plant ecology
"Matthews, A.",6,6,Dasyurids & marsupials
"McCulley, R. L.",6,6,Vegetation & plant ecology
"Morton, S. R.",6,6,Dasyurids & marsupials
"Nano, C. E. M.",6,6,Predators & invasives
