author,papers_with_chris,total_papers,theme
"Jónsdóttir, I. S.",3,3,Vegetation & plant ecology
"Cáceres, N. C.",2,2,Dasyurids & marsupials
"López, B. C.",2,2,Arid zone ecology
"Sabaté, S.",2,2,Arid zone ecology
"Soulé, M. E.",2,2,Predators & invasives
"Müller-Schwarze, D.",2,2,Predators & invasives
"López-Bao, J. V.",2,2,Threatened species & conservation
"Saltré, F.",2,2,Predators & invasives
"Fandiño, D. F.",2,2,Threatened species & conservation
"Impacts-of-landclearing van Eeden, L. M.",1,1,Threatened species & conservation
"Müller, W.",1,1,Predators & invasives
"DeCrappeo, N. M.",1,1,Vegetation & plant ecology
"Salguero-Gómez, R.",1,1,Vegetation & plant ecology
"Céré, J.",1,1,Arid zone ecology
"Giné, G. A. F.",1,1,Other
"Déaux, E. C.",1,1,Predators & invasives
"González, T. M.",1,1,Predators & invasives
"Grégory, S.",1,1,Vegetation & plant ecology
"Schütz, M.",1,1,Vegetation & plant ecology
"Díaz-Martínez, P.",1,1,Vegetation & plant ecology
"Raña, A. F.",1,1,Dasyurids & marsupials
"Fantle-Lepczyk, J.",1,1,Predators & invasives
